METER_ID,OBJECTID,Meter_Styl,Type,Sub_Base,Max_Hours,Rate_Per_H,Rate_Per_D,Hours_Oper,Sign_Type,Notes,Duplex,LegacyID,Location,FacilityID,Rotation,GlobalID
24L85,759,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L85,90,{4BC3ABA9-881F-4BB7-B769-32D41D67A124}
24L84,760,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L84,90,{7D54D19D-45F4-4AE1-A137-7549431A6F41}
24L83,761,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L83,90,{13F9A984-ADB3-415A-AF8A-F4A033BAE3F2}
24L82,762,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L82,90,{BBC1858F-7149-4D6F-8D7F-4EB37A8A7053}
24L81,763,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L81,90,{78847042-47AE-4EFE-8869-6BBC74A17FF2}
24L80,764,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L80,90,{F776F1CD-C858-4CC9-8DF0-73D99BB33A02}
24L79,765,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L79,90,{CF514278-EF81-46B3-849B-9D5CDB93522A}
24L78,766,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L78,90,{6D68B527-F910-4083-BD60-2F1C1242642C}
24L77,767,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L77,90,{3541CEAF-C956-4E4A-A134-1530F38A5A62}
24L76,768,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,,,,5,24-L,24L76,90,{49F5609C-1E4E-4458-8E55-D87D524112BC}
24K37,769,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,Other,,,5,24-K,24K37,270,{13C773EB-EF97-4B06-AC4C-31B8EF046CDE}
24K36,770,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,Other,,,5,24-K,24K36,270,{9AAAE62C-1DC0-407B-826F-4B2AE43199E4}
24K35,771,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,Other,,,5,24-K,24K35,270,{A590C4C0-1265-42B9-9AED-053DC1B6F34D}
24K34,772,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,Other,,,5,24-K,24K34,270,{6B880909-BFA1-4B11-BEC0-CED99E8EF668}
24K33,773,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,Other,,,5,24-K,24K33,270,{4FDB2D52-83FE-46FD-9CA1-8C89F8516D33}
